pH,TDS_ppm,Turbidity_NTU,Temperature_C,Label
7.38,138.7,0.25,20.25,Safe
7.42,79.2,0.45,20.14,Safe
7.05,104.1,1.18,20.12,Safe
7.32,112.8,0.53,19.65,Safe
6.87,171.9,1.97,19.42,Safe
7.19,82.3,2.25,19.49,Safe
7.14,102.2,0.53,20.1,Safe
6.94,156.1,1.28,19.5,Safe
6.84,175.3,0.52,20.16,Safe
7.43,156.1,0.21,20.29,Safe
7.11,80.8,1.64,20.17,Safe
7.19,96.8,2.17,20.42,Safe
7.3,123.2,0.93,19.98,Safe
7,117.1,0.79,20.45,Safe
7.52,165.4,2.61,19.6,Safe
7.53,110.5,1.21,20.69,Safe
6.82,124,0.33,20.15,Safe
7.05,127.2,3.62,20.23,Safe
7.03,84,1.58,19.04,Safe
6.98,96.2,0.87,20.24,Safe
7.03,159.8,1.27,20.57,Safe
7.47,120.6,0.68,19.56,Safe
7.32,92.8,3.6,19.22,Safe
6.85,170.7,2.33,19.81,Safe
7.29,105.5,1.54,20.11,Safe
7.47,171.8,1.04,20.65,Safe
6.77,105.4,2.26,20.15,Safe
6.94,116.4,3.21,20.37,Safe
6.97,112.3,2.52,20.41,Safe
7.29,173.2,1.63,20.44,Safe
6.98,77.1,3.07,20.31,Safe
7.61,174.1,1.67,19.94,Safe
6.98,136.5,1.99,19.78,Safe
7.55,99.3,2.3,20.12,Safe
7.14,111.9,2.88,20.54,Safe
7.24,166.5,2.92,20.01,Safe
7.14,87,1.54,19.84,Safe
7.29,78.6,1.49,19.11,Safe
7.33,88.8,1.39,19.64,Safe
7.62,136.9,0.64,20.68,Safe
6.81,178.8,1.78,19.6,Safe
6.98,139.6,1.62,19.83,Safe
7.19,111.1,0,21.06,Safe
6.97,122.7,1.36,19.88,Safe
7.24,91.7,0.89,20.82,Safe
6.98,86,1.87,20.2,Safe
7.14,155,1.86,20.06,Safe
7.52,97.1,1.2,20.22,Safe
6.94,154.2,2.41,19.71,Safe
6.99,146.1,1.76,19.69,Safe
7.48,127,0.9,20.27,Safe
7.51,110.8,0.66,20.01,Safe
7.55,133.3,2.07,20.16,Safe
7.34,155.7,1.73,20.6,Safe
7.07,93.8,1.65,20.49,Safe
7.47,156.4,2.61,19.78,Safe
7.41,140.1,0.43,19.64,Safe
7.17,92,2.22,19.85,Safe
7.05,168,0.41,19.95,Safe
7.22,140.8,2.89,20.24,Safe
6.85,119,0.57,20.94,Safe
7.01,128.8,2.66,20.42,Safe
7.55,155.7,3.73,20.05,Safe
7.43,180.2,0.72,20.46,Safe
7.19,107.4,2.38,20.44,Safe
6.82,168.6,2.35,20.34,Safe
6.95,154.9,1.71,19.73,Safe
7.31,162.6,0.15,20.58,Safe
7.43,106.6,0.42,20.82,Safe
7.07,129,2.61,20.94,Safe
7.16,167.7,1.93,19.65,Safe
6.9,87.3,1.41,20.44,Safe
7.38,94.6,0.3,20.47,Safe
7.08,129.8,2.46,19.78,Safe
7.51,171.5,2.35,20.15,Safe
7,128.9,1.08,20.13,Safe
6.82,108.1,1.79,21.32,Safe
7.16,129.2,0.8,20.01,Safe
6.84,177.5,2.85,20.18,Safe
7.23,136.5,1.35,20.06,Safe
7.25,130.1,0.77,20.06,Safe
6.9,94.5,2.44,20.27,Safe
7.09,177,2.46,20.52,Safe
7.02,99.7,1.86,20.62,Safe
7.44,94.9,0.72,19.67,Safe
7.27,103.2,1.68,20.27,Safe
7.07,98.5,0.62,20.17,Safe
7.32,118.3,2.29,21.05,Safe
7.52,98.6,1.73,20.69,Safe
7.44,98.6,2.32,20.44,Safe
7.19,173.7,1.23,20.64,Safe
6.93,146.9,2.73,20.16,Safe
7.41,135,1.16,20.91,Safe
7.29,167,1.27,20.75,Safe
6.78,139.4,1.32,20.92,Safe
6.9,107.7,2.48,21.14,Safe
7.1,105.7,2.24,20.71,Safe
7.42,90.7,3.08,20.59,Safe
7.28,148.6,2.56,20.1,Safe
6.93,191.2,1.58,20.45,Safe
7.42,75.4,0.88,20.42,Safe
7.11,146.2,1.34,20.39,Safe
7.19,120.7,2.17,20.38,Safe
7.59,90.9,2.91,19.99,Safe
6.86,156,0.7,21.79,Safe
6.8,164.5,0.1,21.78,Safe
6.82,91.2,1.61,21.12,Safe
6.92,151.2,0.84,20.32,Safe
6.76,87.8,2.27,20.86,Safe
6.98,153.4,1.44,20.32,Safe
7.07,171.3,0.75,19.96,Safe
7.06,142.8,0.64,19.88,Safe
7.12,172.1,2.83,19.46,Safe
7.44,133.3,1.26,20.99,Safe
7.58,129.9,0,20.59,Safe
7.27,142.8,0.49,19.69,Safe
7.33,137.3,1.01,20.63,Safe
7.29,96.9,0.8,20.33,Safe
7.31,130.1,2.34,20.01,Safe
6.77,121.2,2.85,20.8,Safe
7.44,127,2.16,20.98,Safe
7.32,109.5,1.6,20.46,Safe
7.48,150,1.13,21.19,Safe
7.59,178.5,0.36,20.24,Safe
7.59,176.9,2.95,20.46,Safe
7.51,76.7,0.79,20.77,Safe
7.05,151.5,1.49,21.11,Safe
7.35,161.9,0.56,20.67,Safe
7.6,157.3,2.25,21.04,Safe
7.6,148.4,1.39,21.46,Safe
7.07,103.7,0,20.79,Safe
7.28,101,2.25,20.03,Safe
7.32,97.5,2.15,20.98,Safe
6.94,104.8,0.87,20.22,Safe
7.33,92.6,1.14,21.71,Safe
7.31,87.3,0.85,22.18,Safe
7.34,134.2,0.84,21.14,Safe
7.15,91.6,0,21.44,Safe
7.24,136.8,2.62,20.99,Safe
7.53,164.4,2.84,20.18,Safe
7.38,154.9,0.97,21.41,Safe
7.35,98.2,1.82,20.81,Safe
7.31,109.2,3.47,21.1,Safe
7.21,182.3,2.09,21.13,Safe
7.05,151.5,0.82,20.78,Safe
7.5,179.2,0.01,20.76,Safe
7.34,117.4,0,21.78,Safe
7.03,93.8,1.62,21.32,Safe
7.13,136.2,2.61,21.33,Safe
6.97,101.7,1.12,21.45,Safe
7.63,100.3,2.59,20.96,Safe
7.33,99.4,1.79,21.23,Safe
7.05,129.8,0.61,20.66,Safe
7.21,80.3,1.2,20.68,Safe
7.39,161.2,0.85,20.21,Safe
7.36,131.6,1.2,22.2,Safe
7.24,146.1,0.96,20.5,Safe
7.33,92.2,2.82,21.14,Safe
7.1,168.1,1.57,21.45,Safe
7.49,83,2.15,21.2,Safe
7.35,152.1,0.82,20.99,Safe
6.84,111.2,2.18,20.75,Safe
7.16,118.2,1.95,20.76,Safe
7.59,161.9,1.57,20.95,Safe
7.46,95.6,0.83,21.74,Safe
7.18,103.9,2.17,21.16,Safe
6.84,112.6,2.95,21.57,Safe
6.85,86.5,2.65,20.22,Safe
7.27,148.9,0.13,20.22,Safe
7.24,166.2,3.28,21.42,Safe
7.01,89.3,0.34,20.87,Safe
7.5,108.7,0.62,20.93,Safe
7.18,142,0.52,21.46,Safe
7.37,178.4,1.12,20.53,Safe
7.36,164.6,1.77,20.9,Safe
7.27,84,2.32,21.48,Safe
7.06,146.6,2.62,21.32,Safe
7.41,139.5,1.51,21.5,Safe
7.38,154.7,3.18,21.59,Safe
6.75,106.1,1.33,21.06,Safe
6.88,125.5,2.44,21,Safe
7.46,129.6,1.15,20.38,Safe
7.18,140.3,2.76,20.81,Safe
7.56,85.1,0.76,21.37,Safe
7.02,111.6,1.77,20.65,Safe
7.06,120.7,2.03,22.26,Safe
7.3,82.7,3.12,21.55,Safe
7.24,86.7,1.95,22.2,Safe
6.98,94.2,3.43,21.52,Safe
7.03,162.1,1.11,21.36,Safe
7.31,119.2,2.42,21.16,Safe
6.9,88.5,2.54,21.32,Safe
7.21,125.7,2.22,21.22,Safe
7.65,94.4,1.55,21.99,Safe
6.86,166.5,0.33,21.31,Safe
7.21,83.7,2.06,21.21,Safe
7.27,118.6,2.38,21.67,Safe
7.48,127,2.54,21.85,Safe
6.91,133,1.87,21.77,Safe
7.38,170,0,22.16,Safe
7.22,143.3,0.4,22.11,Safe
7.4,78.3,0.76,21.75,Safe
7.14,126.7,4.02,20.58,Safe
7.48,98.7,3.24,21.63,Safe
